"スキル項目コード","専門分野コード"
"S130020030","HI-080-010"
"S130020030","HU-070-010"
"S130020030","HE-070-010"
"S130020030","HE-070-020"
"S130020030","HE-080-010"
"S130020030","HE-100-010"
"S130020030","HF-020-030"
"S130020030","HF-030-030"
"S130020030","HF-040-010"
"S130020030","HN-020-030"
"S130020030","HN-030-030"
"S130020030","HN-030-050"
"S130020030","HP-010-020"
"S130020030","HP-010-030"
"S130020040","HI-060-010"
"S130020040","HI-060-020"
"S130020040","HI-060-030"
"S130020040","HI-060-040"
"S130020040","HI-060-050"
"S130020040","HI-060-060"
"S130020040","HI-070-010"
"S130020040","HI-080-010"
"S130020040","HU-070-010"
"S130020040","HE-020-010"
"S130020040","HE-020-020"
"S130020040","HE-040-010"
"S130020040","HE-050-010"
"S130020040","HE-060-010"
"S130020040","HE-070-010"
"S130020040","HE-080-010"
"S130020040","HE-100-010"
"S130020040","HF-020-030"
"S130020040","HF-030-030"
"S130020040","HF-040-010"
"S130020040","HN-020-030"
"S130020040","HN-030-030"
"S130020040","HN-030-050"
"S130020040","HP-010-020"
"S130020040","HP-010-030"
"S130020040","HP-010-060"
"S130020050","HI-060-010"
"S130020050","HI-060-020"
"S130020050","HI-060-030"
"S130020050","HI-060-040"
"S130020050","HI-060-050"
"S130020050","HI-060-060"
"S130020050","HI-070-010"
"S130020050","HI-080-010"
"S130020050","HU-070-010"
